obs border coord
02-000325 125 N
02-000325 125 S
10-000944 150 N
10-000944 150 S
12-002446 150 S
13-001146 150 N
13-001146 150 S
04-000710 200 N
04-000861 200 N
04-000889 200 N
04-001102 200 N
06-000722 200 N
06-000722 200 S
08-000662 200 N
08-000662 200 S
08-000686 200 N
08-000686 200 S
10-000581 200 S
10-000851 200 N
10-000851 200 S
10-001110 200 N
10-001110 200 S
10-001217 200 N
10-001217 200 S
13-001105 200 N
13-001105 200 S
13-001145 200 N
13-001145 200 S
13-001614 200 S
14-000751 200 N
14-000751 200 S
14-000833 200 N
14-000833 200 S
14-000874 200 N
14-000874 200 S
14-001567 200 N
14-001567 200 S
15-000294 200 N
15-000294 200 S
15-000424 200 N
15-000424 200 S
15-000471 200 N
15-000471 200 S
15-000485 200 N
15-000485 200 S
21-002893 200 N
21-002893 200 S
23-002495 200 N
23-002495 200 S
23-002619 200 N
23-002619 200 S
25-002058 200 S
25-002650 200 S
02-000443 250 N
03-000401 250 N
03-000435 250 N
03-000783 250 N
04-000898 250 S
04-000914 250 N
04-000914 250 S
04-000979 250 N
04-000979 250 S
04-001157 250 N
04-001157 250 S
06-000541 250 N
08-000295 250 S
11-001508 250 N
11-001508 250 S
14-001055 250 N
14-001055 250 S
14-001469 250 N
14-001469 250 S
15-000458 250 N
15-000458 250 S
15-000650 250 N
15-000650 250 S
16-002720 250 S
17-000240 250 S
20-001841 250 N
20-001841 250 S
20-001963 250 N
20-001963 250 S
22-002134 250 N
22-002134 250 S
23-002436 250 N
23-002436 250 S
23-002618 250 N
23-002618 250 S
23-002631 250 N
23-002631 250 S
23-002651 250 N
23-002651 250 S
23-002653 250 N
23-002653 250 S
23-002813 250 N
23-002813 250 S
24-002387 250 N
24-002387 250 S
24-002488 250 N
24-002488 250 S
24-002891 250 S
24-002902 250 S
24-003207 250 S
02-000311 300 N
02-000311 300 S
02-000320 300 N
03-000332 300 N
03-000445 300 N
04-000688 300 N
04-000727 300 N
04-000727 300 S
04-001065 300 S
04-001128 300 N
04-001128 300 S
05-001431 300 N
06-000460 300 N
06-000460 300 S
06-000693 300 N
06-000775 300 N
06-000775 300 S
07-000354 300 N
07-000504 300 N
07-000504 300 S
08-000627 300 N
08-000627 300 S
09-000138 300 N
09-000138 300 S
09-000158 300 N
09-000158 300 S
09-000169 300 N
09-000169 300 S
10-000850 300 N
11-002002 300 N
11-002002 300 S
13-001359 300 N
13-001359 300 S
14-000724 300 S
14-001126 300 N
14-001126 300 S
14-001523 300 S
15-000333 300 N
15-000333 300 S
15-000367 300 N
15-000367 300 S
15-000447 300 N
15-000447 300 S
15-000496 300 N
15-000496 300 S
16-002049 300 N
16-002049 300 S
17-000305 300 N
17-000305 300 S
17-000318 300 S
18-000716 300 N
18-000716 300 S
19-001614 300 N
19-001614 300 S
19-001621 300 N
19-001621 300 S
19-001945 300 N
19-001945 300 S
19-002074 300 S
19-002484 300 N
19-002484 300 S
19-002537 300 N
19-002537 300 S
21-001760 300 N
21-001760 300 S
21-002300 300 N
21-002300 300 S
21-002429 300 N
21-002429 300 S
21-002593 300 N
21-002593 300 S
21-002719 300 S
21-002805 300 N
21-002805 300 S
22-002108 300 N
22-002108 300 S
22-002163 300 N
22-002492 300 N
22-002492 300 S
22-002975 300 N
22-002975 300 S
22-002987 300 N
22-002987 300 S
22-003005 300 N
22-003005 300 S
23-001738 300 N
23-001947 300 N
23-001947 300 S
23-002051 300 N
23-002051 300 S
23-002080 300 S
23-002217 300 N
23-002699 300 N
23-002699 300 S
23-002979 300 N
23-002979 300 S
23-003069 300 N
23-003069 300 S
24-002008 300 N
24-002008 300 S
24-002152 300 S
24-002467 300 N
24-002467 300 S
25-001638 300 N
25-001638 300 S
25-002484 300 N
25-002484 300 S
26-001661 300 S
04-000964 325 N
04-000964 325 S
10-000560 325 N
04-000912 350 N
04-000912 350 S
04-001035 350 N
04-001035 350 S
10-000621 350 N
10-000621 350 S
10-000915 350 N
10-000915 350 S
10-000996 350 N
10-000996 350 S
11-001094 350 N
11-001094 350 S
11-001431 350 N
11-001431 350 S
13-001589 350 N
13-001589 350 S
14-001027 350 N
